proj_no,project_title,approval_number,Type,status
43079-012,UPDATING THE ENERGY SECTOR DEVELOPMENT PLAN,7619,TA,FIN COMPL
43241-012,CAPCTY STRENGTHENING FR GENDER MAINSTREAMING N D AGRICULTURE SECT,7624,TA,FIN COMPL
42272-012,DEEPENING CAP BLDG FOR MAINSTREAMING PUBLIC-PRIVATE PARTNERSHIP,7625,TA,FIN COMPL
41466-012,CAPACITY BLDG FOR RIVER BASIN WATER RESOURCES PLANNING,7629,TA,FIN COMPL
44348-012,MUNICIPAL NATURAL GAS INFRASTRUCTURE DEVELOPMENT PRJECT (PHASE 2),7636,TA,ACTIVE
43497-012,Power Sector Master Plan,7637,TA,FIN COMPL
39298-013,ENERGY EFFICIENCY IMPROVEMENT,7642,TA,FIN COMPL
44016-012,RENEWABLE ENERGY DEVELOPMENT IN QINGHAI,7643,TA,FIN COMPL
43319-032,GREATER MEKONG SUBREGION: PREPARING THE CORRIDOR TOWNS DEVELOPMT,7644,TA,FIN COMPL
44158-092,ENABLING CLIMATE CHANGE RESPONSES IN ASIA AND THE PACIFIC,7645,TA,ACTIVE
42389-022,PBLIC FINANCE MGMT & PBLIC SECTOR PERFORMANCE REVIEW,7646,TA,FIN COMPL
44235-012,REGIONAL TRANSPORT DEVELOPMENT IN SOUTH ASIA,7650,TA,ACTIVE
43342-012,SPPRTNG BOAO FORUM FR ASIA &ASIAN EXIM BNK ON REG ECONMC&PRTNRSHP,7651,TA,FIN COMPL
43219-012,Strengthening National Public Procurement Processes,7653,TA,FIN COMPL
40683-013,EFFECTIVE RESERVOIR UTILIZATION FOR INTGRATD WATER RESOURCES MGMT,7658,TA,FIN COMPL
42459-012,LAGGING LOCAL AUTHORITIES INFRASTRUCTURE DEVELOPMENT PROJECT,7659,TA,FIN COMPL
44360-012,STRENGTHNING THE PUBLIC FINANCIAL MNGMENT IN BRUNEI DARUSSALAM,7663,TA,CANCELLED
41155-012,ENERGY ACCESS & EFFICIENCY IMPROVEMENT PROJECT II,7666,TA,FIN COMPL
43301-012,"PROMOTING RENEWABLE ENERGY,CLEAN FUELS,&ENERGY EFFICIENCY IN GMS",7679,TA,FIN COMPL
42363-012,URBAN WATER SUPPLY AND SANITATION PROJECT,7683,TA,FIN COMPL
44185-012,STRNGTHNG CPCTY TO ADDRESS CLMTE CHNGE FR SMLL&MED SIZED CTY DEVT,7687,TA,FIN COMPL
44189-012,BROADENING INVESTOR BASE FOR LOCAL CURRENCY BONDS IN ASEAN+3,7690,TA,ACTIVE
43322-032,SUPPORTING ROAD NETWORK DEVELOPMENT,7698,TA,FIN COMPL
44283-012,CMPRTVE INFRAS. DEVT ASESMNT OF KNGDM OF THAILAND & REP OF KOREA,7706,TA,FIN COMPL
44503-001,SSTA-PROJ MNGT CAPCTY BLDG FR WATER RESOURCES SECTOR EXCTNG AGNCS,7713,TA,FIN COMPL
41171-022,SUPPORTING THE TRANSPORT SECTOR DEVELOPMENT PROJECT,7715,TA,ACTIVE
42196-012,DCNTRLZD FRMWRK FR SSTAINBLE NTL RSRCS & RURAL INFRASTRUCTURE MGT,7716,TA,FIN COMPL
44175-012,"PRMTNG LNKS & IMPRVNG COORD. AMONG GMS,BIMP-EAGA,IMT-GT & THE ASEAN",7718,TA,FIN COMPL
40515-022,SUPRT TO LGED IN INSTNLZNG WOMEN'S BNFITS FRM RURAL INFRAS INITVS,7720,TA,ACTIVE
43053-012,DVLOPNG SMART GRID TECH FR EFFICIENT UTILIZTION OF RENEWBLE ENRGY,7721,TA,FIN COMPL
43166-082,ADVNCD PROJ PRPARDNESS FOR POVRTY REDUCTN-CAP DVL FOR COMNTY BSED,7722,TA,FIN COMPL
42161-012,INTEGRATED URBAN DEVELOMPMENT PROJECT,7727,TA,FIN COMPL
44138-012,RURAL ACCESS IMPROVEMENT PROJ ALONG D'EAST-WEST ECONOMIC CORRIDOR,7728,TA,FIN COMPL
44202-012,CAPACITY DEVL ASSISTANCE FOR PUBLIC-PRIVATE PARTNERSHIPS,7729,TA,FIN COMPL
42016-032,STRNGTHNING PRTICPTRY IRRIGTN MNGT & PROJ MNGT CAP N QINGHAI PROV,7731,TA,FIN COMPL
43263-012,SUPPORT FOR SOCIAL PROTECTION REFORM,7733,TA,ACTIVE
44364-012,"BLDG CAP FOR ENVIRONMENTAL PROSECUTION,ADJUDICATION,DISPUTE RESOL",7735,TA,ACTIVE
44090-012,SUPPORTING WATER OPERATORS' PARTNERSHIP,7739,TA,FIN COMPL
44293-012,SUPPORT FOR EFFECTIVE AID MANAGEMENT,7741,TA,FIN COMPL
42368-012,STRNGTHNING INST'L CAP TO COMPILE & ANLYZE FINL SOUNDNESS INDCATR,7743,TA,FIN COMPL
39322-022,ASIA-PACIFIC COM OF PRCTICE ON MANGNG DEVL RESLTS (APCOP)-FRM CON,7744,TA,FIN COMPL
43166-112,ADVNCED PROJ PREPRDNESS FOR POVERTY REDUCTION-MPRMDP (SUB-PROJ 11,7745,TA,FIN COMPL
42251-012,TECHNICAL EDUCATION & VOCATIONAL TRAINING SECTOR DEVL PROJECT,7746,TA,FIN COMPL
40382-012,CAP DEVL FR PROJ MNGT OF INFRSTRCTRE DEVL FOR RURAL LIVELIHOOD EN,7749,TA,FIN COMPL
43427-012,STRNGT. CSTAL&MRINE RSRCS MGT IN THE CORAL TRNGLE OF THE PCFC PH2,7753,TA,ACTIVE
35174-102,SUPPORT FOR THE IMPLEMENTATION OF SCHOOL SECTOR REFORM PROGRAM,7760,TA,FIN COMPL
43166-102,ADV PRJT PREP FR PVRTY RDCTN CPCTY DEV FR JHRKHND STE RD SEC SP11,7761,TA,FIN COMPL
43447-022,PREPARATION OF THE AGRICULTURAL DEVELOPMENT STRATEGY,7762,TA,FIN COMPL
43293-012,ENSURING SUSTAINBLTY OF GREATER MEKONG SUBRGION REGL POWER DEVT,7764,TA,FIN COMPL
43166-062,ADV PRJ PREP-PVRTY RDCTN INSTNL DEV-VAL-CHN APP-AGR-BIHAR&MHRSTRASP12,7766,TA,ACTIVE
44352-012,INSTITUTIONAL STRENGTHENING FOR THE WATER RESOURCES SECTOR,7768,TA,FIN COMPL
43464-012,HIMACHAL PRADESH CLEAN ENERGY TRANSMISSION INVESTMENT PROGRAM,7771,TA,FIN COMPL
44048-012,CAREC-TRNSPRT & TRDE FCILTION:BORDER CROSSING POINT IMPRVT & SING,7775,TA,FIN COMPL
44401-012,SSTA-PREPARATION OF THE FOREST INVESTMENT STRATEGY,7776,TA,FIN COMPL
40558-012,IMPROVING ACCESS TO FINANCE SECTOR DEVELOPMENT PROGRAM,7777,TA,FIN COMPL
39415-013,IMPLEMENTATION OF ENERGY EFFICIENCY POLICY INITIATIVE,7778,TA,FIN COMPL
43100-012,SUP FOR THE NTNL TRGT PRGRM ON CLMTE CHNGE W/ FOCUS ON ENRGY&TRNS,7779,TA,FIN COMPL
43114-012,NAT'L INTEGRATED WATER RESOURCES MNGT SUPPORT PROJECT,7780,TA,ACTIVE
44132-012,RURAL COMMUNITY-BASED RENEWABLE ENERGY DEVELOPMENT IN MINDANAO,7781,TA,FIN COMPL
43199-012,FACILITATING PUBLIC-PRIVATE PARTNERSHIPS,7782,TA,ACTIVE
44382-012,PACIFIC REG'L INFO & COMMNCTN TECH CONNECTIVITY PROJECT (PHASE 2),7787,TA,FIN COMPL
43341-012,CPCTY BLDNG FOR IMPLMNTING PRIVATE SCTOR LED INTGRTION IN S. ASIA,7791,TA,ACTIVE
44133-012,INSTITUTIONAL CAPACITY BUILDING OF INDONESIA EXIMBANK,7793,TA,FIN COMPL
41190-012,IMPLEMENTING THE PACIFIC REGIONAL AUDIT INITIATIVE,7794,TA,FIN COMPL
45515-001,STRENGTHENING PUBLIC PRIVATE PARTNERSHIPS IN THE PHILIPPINES,7796,TA,ACTIVE
44099-012,"Promoting Energy Efficiency in  the Pacific, Phase II",7798,TA,FIN COMPL
44301-012,BUILDING CAPACITY FOR STATISTICS IN THE PACIFIC,7800,TA,FIN COMPL
44061-012,STRENGTHENING PUBLIC RESOURCE MANAGEMENT PROGRAM,7801,TA,FIN COMPL
44475-012,CAPACITY BUILDING FOR COMMERCIAL BANK LENDING FOR SOLAR ENERGY,7802,TA,FIN COMPL
44478-012,STRENGTHENING THE CAPACITY OF ASIA PACIFIC ECONOMIC COOPERATION,7805,TA,FIN COMPL
43203-012,RESULTS-ORIENTED STRATEGIC PLANNING AND DEV'T MNGT FR INCL GROWTH,7806,TA,ACTIVE
45126-002,SCALING UP MICRO AND MINI RENEWABLE ENERGY INITIATIVES,7807,TA,FIN COMPL
44396-012,DVLPMNT OF INTL CENTER FOR APPLCTN OF SOLAR ENERGY TECHNOLOGIES,7808,TA,ACTIVE
43205-012,SUPPRT TO LOCAL GOVERNMENT REVENUE GENERATION & LAND ADMIN REFORM,7809,TA,ACTIVE
42065-012,SUPPRTNG & ENHANCNG REG SURVEILLNCE FOR ASEAN+3 & CHIANGMAI INT,7810,TA,ACTIVE
43553-012,DEVELOPING A DISASTER RISK FINANCING CAPABILITY,7812,TA,FIN COMPL
44113-012,Coastal and Marine Resources Mgt in the Coral Triangle-Southeast Asia,7813,TA,ACTIVE
43166-195,ADV PRJCT PRPRDNESS FOR PVRTY REDCTN-RAJASTHAN SOLAR PRK CAP DEV,7814,TA,FIN COMPL
43166-194,ADVANCED PROJECT PREPAREDNESS FOR POVERTY REDUCTION GUJARAT SOLAR,7815,TA,FIN COMPL
45129-001,SCALING UP SMALL HYDRO POWER PROJECT,7816,TA,FIN COMPL
44015-012,DEVELOPMENT OF ENERGY MANAGER PROGRAM FOR ENERGY CONS IN SHANDONG,7817,TA,FIN COMPL
40255-043,CENTRAL MEKONG DELTA CONNECTIVITY TECHNICAL ASSISTANCE PROJECT,7822,TA,ACTIVE
43428-012,STRENGTHENING CLIMATE RISK AND RESILIENCE CAPACITY OF PDMCS (PH1),7827,TA,FIN COMPL
44474-012,CAP BLDG FR THE EFFICIENT UTLZTN OF BIOMASS FOR BIOENRGY & FOOD,7833,TA,ACTIVE
N/A-N/A,CAPACITY BUILDING FOR NORTH EASTERN STATE ROADS SECTOR,7838,TA,FIN COMPL
45113-001,ENHANCING KNOWLEDGE ON CLIMATE  TECHNOLOGY AND FINANCNG MECHANISM,7842,TA,FIN COMPL
43255-013,STRENGTHENING SANITATION PLANNING AND EFFICIENCY IMPROVEMENT,7843,TA,ACTIVE
43040-012,ROAD SECTOR CAPACITY DEVELOPMENT,7844,TA,FIN COMPL
45123-001,REGIONAL PROGRAM FOR RESEARCH AND CAPACITY DEVT ON WATER SECURITY,7845,TA,FIN COMPL
45120-002,DESIGN AND STRENGTHENING OF THE SOLAR ENERGY INSTITUTE,7846,TA,FIN COMPL
45065-001,CLIMATE CHANGE CAPACITY BUILDING AND KNOWLEDGE MANAGEMENT,7848,TA,FIN COMPL
40497-012,WATER RESOURCES AND RIVER BASIN MANAGEMENT,7849,TA,ACTIVE
44174-022,SUPRT FR IMPLMNTNG ACTN PLAN FR TRANSPORT & TRADE IN GMS(SUBPRJ1),7851,TA,FIN COMPL
44423-012,Nineteenth Tax Conference,7852,TA,FIN COMPL
45062-001,MANAGING THE WATER RESOURCES OF BOYANG LAKE,7860,TA,FIN COMPL
45142-001,FINANCIAL REGULATORY REFORMS IN ASIA,7864,TA,FIN COMPL
43222-012,RENEWABLE ENERGY DEVELOPMENT IN REMOTE COMMUNITIES PROJECT,7866,TA,FIN COMPL
43166-201,ADV PROJ PREPRDNESS FOR POVERTY REDUCTN-CAP BLDG & INST STRNGTH F,7867,TA,FIN COMPL
45340-001,SSTA-KOREA-ADB CONF ON KNOWLEDGE SHARING & DEVT EFF IN THE ASIA,7868,TA,FIN COMPL
44375-012,Maritime and Waterways Safety Project,7869,TA,FIN COMPL
43399-012,STRENGTHENING INSTITUTIONS FOR AN IMPROVED INVESTMENT CLIMATE,7870,TA,FIN COMPL
37049-062,INTEGRATED CITARUM WATER RESOURCES MNGT INVESTMENT PROGRAM-PFR2,7871,TA,ACTIVE
45193-001,LEARNING FROM E-LEARNING:TESTING INTELLIGENT LEARNING SYS IN S.A,7872,TA,ACTIVE
45006-001,DEVELOPING A REVENUE ADMINISTRATION MANAGEMENT INFORMATION SYSTEM,7881,TA,ACTIVE
45009-001,FIFTH HEALTH SECTOR DEVELOPMENT PROJECT,7882,TA,FIN COMPL
44214-023,BUILDING CLIMATE RESILIENCE OF WATERSHEDS IN MOUNTAIN ECO-REGIONS,7883,TA,FIN COMPL
43166-202,ADVANCED PROJ PREPARDNESS FOR PVERTY REDCTION-CAP BLDG FOR BIHAR,7884,TA,FIN COMPL
44003-012,SPPRT TO CNTRL & LOC GOVT'S TO IMP URBAN ENVRNMNTL IMPRVMT PROGRM,7885,TA,ACTIVE
44444-012,GREEN POWER DEVELOPMENT PROJECT II,7887,TA,FIN COMPL
45519-001,"STRNGHTNNG THE RESLNCE OF THE URBAN WATER SUPPLY,DRAINAGE & SANIT",7890,TA,FIN COMPL
45200-001,SUSTAINABLE URBAN TRANSPORT FOR HO CHI MINH CITY MRT LINE 2 PROJ,7892,TA,FIN COMPL
40080-023,STRNGTHNG SUSTAINABLE URBAN TRANSPORT FR HA NOI METRO LINE3 PROJ,7894,TA,FIN COMPL
45334-001,DEVELOPING THE SERVICES SECTOR AS AN ENGINE FOR INCLUSIVE GROWTH,7898,TA,FIN COMPL
45044-001,IMPROVEMENT OF ROAD SAFETY & CLIMATE RESILIENCE ON NAT'L HIGHWAYS,7900,TA,FIN COMPL
45084-001,CLIMATE RESILIENT INFRASTRUCTURE IMPROVEMENT IN COASTAL ZONE PROJ,7902,TA,FIN COMPL
45355-001,REGIONAL FORUM ON PUBLIC SECTOR ACCOUNTING,7903,TA,ACTIVE
44321-012,CLIMATE RESILIENT RICE COMMERCIALIZATION SECTOR DEVELOPMENT PROG,7904,TA,FIN COMPL
45064-001,IMPLEMENTING EFFECTIVE CLIMATE CHANGE ADAPTATION POLICY,7909,TA,ACTIVE
45335-001,BROADENING THE SCOPE OF ASIAN BOND MARKTS INITIATVE UNDER ASEAN+3,7911,TA,FIN COMPL
45039-001,HARNESSING CLIMATE CHANGE MITIGATION INITIATIVES TO BENEFIT WOMEN,7914,TA,ACTIVE
44458-012,AMU BUKHARA IRRIGATION SYSTEM REHABILITATION,7917,TA,FIN COMPL
45102-001,SUPPORT TO URBAN INGRASTRUCTURE DEVELOPMENT AND FINANCING,7918,TA,ACTIVE
44087-012,SUPPORTING WATER OPERATORS' PARTNERSHIPS IN ASIA AND THE PACIFIC,7920,TA,ACTIVE
43166-203,ADV PRJ PRPRDNSS FR PVRTY RED-SUPPRTNG CLEAN VILL ENV FOR MDGS,7921,TA,FIN COMPL
44324-012,WATER RESOURCES DEVELOPMENT IN MID-AND NORTHEAST RED RIVER DELTA,7926,TA,FIN COMPL
44471-012,STRENGTHENING INFRASTRUCTURE PLANNING AND IMPLEMENTATION,7927,TA,ACTIVE
45295-001,ADDRESSNG DISASTER RISK THROUGH IMPRVED INDICATORS & LAND USE MGT,7929,TA,FIN COMPL
42305-013,IMPLEMENTING SUBPROGRAM 2 OF THE THIRD FINANCIAL SECTOR PROGRAM,7934,TA,ACTIVE
35174-082,CAPACITY DEVELOPMENT FOR SCHOOL SECTOR PROGRAM IMPLEMENTATION,7935,TA,ACTIVE
43524-012,PREPARING THE KATHMANDU VALLEY URBAN ENVIRONMENT IMPROVEMENT PROJ,7936,TA,FIN COMPL
42392-013,ESTABLISHMENT OF THE MARITIME SAFETY ADMINISTRATION,7938,TA,ACTIVE
43304-022,WATER SUPPLY AND SANITATION SECTOR DEVELOPMENT PROJECT,7939,TA,FIN COMPL
43452-012,OUTER ISLAND RENEWABLE ENERGY PROJECT,7940,TA,FIN COMPL
44106-012,PREPARING A WATER SUPPLY & SANITATION HANDBOOK FOR SOUTHEAST ASIA,7941,TA,FIN COMPL
43536-012,INTRODUCING BEST PRACTICES FOR SEPTAGE MANAGEMENT,7947,TA,FIN COMPL
45124-001,SMART GRID CAPACITY DEVELOPMENT,7950,TA,ACTIVE
43253-012,KARNATAKA INTEGRATED AND SUSTAINABLE WATER RESOURCES MGT IVT PRGM,7954,TA,FIN COMPL
45089-001,EDUCATION IMPROVEMENT SECTOR DEVELOPMENT PROGRAM,7955,TA,FIN COMPL
45038-001,DEVELOPING TIANJIN EMISSION TRADING SYSTEM,7956,TA,FIN COMPL
45270-001,IMPLEMENTING STRATEGIC ECONOMIC MANAGEMENT,7959,TA,ACTIVE
45041-001,VIENTIANE SUSTAINABLE URBAN TRANSPORT,7964,TA,ACTIVE
45022-001,JIANGXI JI'AN SUSTAINABLE URBAN TRANSPORT PROJECT,7965,TA,FIN COMPL
45072-001,INNOVATIONS FOR MORE FOOD WITH LESS WATER,7967,TA,FIN COMPL
45007-001,ULAANBAATAR URBAN SERVICES AND GER AREAS DEV'T INVESTMENTPROGRAM,7970,TA,FIN COMPL
45522-001,GOVERNMENT BOND MARKET DEVELOPMENT,7971,TA,FIN COMPL
45078-001,STRATEGIC MASTER PLAN FOR CHITTAGONG PORT,7979,TA,ACTIVE
45354-001,BUILDING CLIMATE RESILIENCE IN THE PYANJ RIVER BASIN,7980,TA,FIN COMPL
44168-012,MAINSTREAMING CLIMATE CHANGE RISK MANAGEMENT IN DEVELOPMENT,7984,TA,ACTIVE
44323-012,CORE ENV PROG & BIODVRSTY CNSRVTN CORRIDORS INTIATIVE IN GMS PH 2,7987,TA,ACTIVE
42466-012,SKILLS FOR EMPLOYMENT PROJECT,7989,TA,FIN COMPL
44489-012,QUANTIUM LEAP WIND POWER DEVELOPMENT IN ASIA AND THE PACIFIC,7990,TA,ACTIVE
45398-003,SOLID WASTE MANAGEMENT IMPROVEMENT INVESTMENT PROGRAM,7991,TA,ACTIVE
38176-012,SKILLS DEVELOPMENT PROJECT,7992,TA,FIN COMPL
43251-012,METROPOLITAN SANITATION MANAGEMENT AND HEALTH PROJECT II,7993,TA,FIN COMPL
44411-012,SUPPORTING NATURAL RESOURCES OPERATIONS,7994,TA,ACTIVE
43418-012,STRENGTHENED PUBLIC FINANCIAL MANAGEMENT,7995,TA,FIN COMPL
45128-001,DEVELOPMENT OF A STRATEGIC FRAMEWORK FOR FINANCIAL INCLUSION,7998,TA,FIN COMPL
45079-001,CAPACITY DEVELOPMENT OF THE MALDIVES ENERGY AUTHORITY,8000,TA,ACTIVE
45096-001,STUDY ON CARBON CAPTURE & STORAGE IN NATURAL GAS-BASED PWR PLANTS,8001,TA,FIN COMPL
45292-001,STRENGTHENING EVALUATION OF POVERTY REDUCTION INNOVATIONS,8003,TA,ACTIVE
43166-196,WEST BENGAL NORTH SOUTH ROAD CORRIDOR PROJECT(SUPBROJECT 18),8007,TA,ACTIVE
44158-032,DISASTER RISK FINANCE FOR TOTAL CLIMATE RISK (SUBPROJECT 6),8012,TA,ACTIVE
45353-001,DEVELOPNG WATER RESOURCES SECTR STRATEGIES IN CENTRAL & WEST ASIA,8015,TA,FIN COMPL
45002-001,SUPPORT FOR PAN BEIBU GULF ECONOMIC COOPERATION,8017,TA,ACTIVE
45134-001,PRMTN OF INVESMENT IN CLIMATE TECHNLGY PRODCTS THRU VENTURE CAP,8018,TA,ACTIVE
43166-197,PREPARING STATE ROAD PROJECTS(SUBPROJECT 20),8019,TA,FIN COMPL
43166-205,PREPRNG THE RAJASTHAN RENWBLE ENRGY TRANSMISSN PRGRM(SUBPRJCT 19),8020,TA,FIN COMPL
45348-001,CAPACITY BUILDING OF ANTI CORRUPTION  COMMISSION,8028,TA,FIN COMPL
45147-001,SUPPORTING PUBLIC MANAGEMENT THRU E-GOVERNMENT CAPACITY DEVLOPMNT,8033,TA,FIN COMPL
44255-012,CAPACITY DEVELOPMENT OF FINANCIAL REGULATORS,8038,TA,FIN COMPL
45076-001,MASTER PLAN ON ASEAN CONNECTIVITY IMPLEMENTATION,8040,TA,FIN COMPL
43166-206,DESIGNING & CAP BLDG FOR STRENGTHENING STATE FINANCES & SERVICE,8041,TA,FIN COMPL
45326-001,SPPRT FR REG'L MULTISECTOR INVESTMENT FRAMEWORK FOR GMS DEVT(PH1),8042,TA,ACTIVE
43166-172,RAJASTHAN URBAN DEVELOPMENT PROGRAM (SUBPROJECT 22),8043,TA,FIN COMPL
45149-001,IMPROVING DOMESTIC CONNECTIVITY,8045,TA,FIN COMPL
45152-001,HARMONIZATION OF BOND STANDARDS & MRKT PRACTICES IN ASEAN+3,8049,TA,FIN COMPL
43448-012,BAGMATI RIVER BASIN IMPROVEMENT PROJECT,8050,TA,FIN COMPL
42173-012,PREPARING THE KHILKHET WATER TREATMENT PLANT PROJECT,8053,TA,ACTIVE
44167-012,MAIN RIVER FLOOD AND BANK EROSION RISK MANAGEMENT PROGRAM,8054,TA,FIN COMPL
43166-200,GENDER CAP DEVT FOR ELECTCTY DISTRTN LOSS REDCTN IN RURAL MADHYA,8056,TA,ACTIVE
42221-022,"LOCAL GOVERNMENT FINANCE AND GOVERNANCE REFORM,SUBPROGRAM 2",8057,TA,ACTIVE
46178-001,HYDROPOWER IMPACTS AND BEST PRACTICES A COMMUNICATIONS PROJECT,8058,TA,CANCELLED
45119-001,PROMOTING INNOVATIONS IN WASTE WATER MANAGEMENT IN ASIA & PACIFIC,8060,TA,ACTIVE
43166-192,ADV PRJ PRPRDNESS FR PVRTY REDCTN CAP BLDG FR NRTH EAST RD(SP24),8063,TA,FIN COMPL
46160-001,SECOND DISTRICT CAPITALS WATER SUPPLY PROJECT,8064,TA,ACTIVE
45328-001,ENHNCNG ADB'S ENGAGEMENT IN FRAGILE &CONFLICT-AFFECTED SITUATIONS,8065,TA,ACTIVE
45052-001,QUALITY PRIMARY EDUCATION IN THE NORTH PACIFIC,8066,TA,FIN COMPL
42169-013,TRANSIT ORIENTED DEVT & IMPRVED TRAFFIC MGT IN GAZIPUR CITY CORP,8072,TA,ACTIVE
44091-012,CONSUMER PROTECTN IN A COMPETITIVE ELCTRCTY MRKT WITH OPEN ACCESS,8073,TA,FIN COMPL
44164-012,APPLYING REMOTE SENSING TECHNOLOGY IN RIVER BASIN MANAGEMENT,8074,TA,ACTIVE
43080-012,IMPRVNG ROAD SAFETY IN THE ASSOCIATION OF SOUTHEAST ASIAN NATIONS,8075,TA,ACTIVE
42244-012,STRENGTHENING ROYAL MONETARY AUTHORITY'S REG CAP FR NONBNK INSTNS,8076,TA,FIN COMPL
45100-001,TRDE FCLTATN SPPRT-ASEAN ECON CMNTY BLUEPRNT IMPLMNTN(GMS-IMT GT),8079,TA,ACTIVE
45264-001,LOGISTICS CAPACITY DEVELOPMENT PROJECT,8080,TA,ACTIVE
45126-001,SCALING UP RENEWABLE ENERGY PROJECT,8081,TA,FIN COMPL
44463-013,TURKMENISTAN AFGHANISTAN PAKISTAN INDIA NATURAL GAS PIPELINE PRJ,8083,TA,ACTIVE
45317-001,Support for the Third Primary Education Development Project,8085,TA,ACTIVE
45275-001,SUPPORTING DECENTRALIZED RURAL INFRASTRUCTURE DEVELOPMENT,8086,TA,ACTIVE
46221-001,"ENHANCING ENGAGEMENT WITH PACIFIC DEVELOPING MEMBER COUNTRIES,PH2",8088,TA,ACTIVE
45017-001,OPERTNL RSRCH TO SUPPRT MNSTRMNG OF INTGRD FLOOD MGT UNDR CLMTE,8089,TA,ACTIVE
45436-001,Building Capacity for Climate Resilience,8090,TA,ACTIVE
45105-002,BETTER GREENHOUSE GAS ASSMNT METHDOLOGIES IN SUSNBLE PBLC TRANPRT,8091,TA,FIN COMPL
46108-001,INSTITUTIONAL STRENGTHENING OF THE MINISTRY OF FINANCE &ECON DEVT,8100,TA,ACTIVE
45105-006,INTELLIGENT TRANSPORT SYSTEMS(ITS) FOR BETTER URBAN TRNSPORT(SP3),8101,TA,FIN COMPL
N/A-N/A,PRMTNG CLMTE RESILIENT RURAL INFRSTRCTURE IN NORTHRN MT. PROVINCE,8102,TA,ACTIVE
45134-005,DEMNSTRTN OF AN ASSISTD BRKR MODEL FR TRNSFER OF LOW-CARBN TECH,8105,TA,ACTIVE
46199-001,ENHANCING SOCIAL PROTECTN THROUGH  COMMUNITY-DRIVEN DEVT APPROACH,8106,TA,ACTIVE
42235-013,SUPPORTING MICROFINANCE DEVELOPMENT PROGRAM,8108,TA,FIN COMPL
45134-001,INTEGRATION OF CLIMATE TECHNOLOGY NEEDS INTO NTL DEVT STRATEGIES,8109,TA,FIN COMPL
N/A-N/A,INSTITUTIONAL DEVELOPMENT FOR RURAL ROADS ASSET MANAGEMENT,8110,TA,ACTIVE
46225-001,CLIM RSLNCE & GREEN GRWTH-UPPER MARIKINA RVR BASIN PRTCTD LNDSCPE,8111,TA,ACTIVE
45146-001,SOLID WASTE MANAGEMENT SECTOR PROJECT,8115,TA,ACTIVE
43166-207,ADV PREPRDNESS FR PVRTY REDCTN-DETAILD DESGN FOR SASEC SUBREG RD,8116,TA,ACTIVE
44068-012,Economics of Climate Change in  Central and West Asia,8119,TA,ACTIVE
46258-001,GRID INTEGRATION OF RENEWABLE ENERGY SOURCES & SOLAR ENERGY TECH,8120,TA,FIN COMPL
45196-001,CAPACITY DEVELOPMENT FOR URBAN MANAGEMENT,8121,TA,ACTIVE
45134-006,ESTBLSHNG A PILOT CNER TO FACLTATE CLMTE TECH INV IN ASIA & PAC,8122,TA,ACTIVE
44212-012,COASTAL TOWNS INFRASTRUCTURE IMPROVEMENT PROJECT,8128,TA,FIN COMPL
43166-209,UPDATNG LOAD FORECASTNG & POWER SYSTEM MASTER PLAN FR ASSAM(SP26),8129,TA,FIN COMPL
46014-001,OUTER ISLAND RENEWABLE ENERGY PROJECT,8130,TA,FIN COMPL
45134-003,PROMOTION OF DIRCT INVESTMNT  IN PRIORITY CLIMTE TECHN PRJ(SP5),8132,TA,FIN COMPL
46052-001,ROAD MAP FOR CARBON CAPTURE AND STORAGE DEMONSTRATION & DEPLOYMNT,8133,TA,FIN COMPL
46308-001,DESIGN OF A PILOT PROJ TO IMP ENVRNMNTL CONDTNS OF ESTERO DE PACO,8135,TA,FIN COMPL
46271-001,SSTA-MYANMAR TOURISM MASTER PLAN,8136,TA,FIN COMPL
44470-012,PREPARING THE POHNPEI PORT DEVELOPMENT PROJECT,8143,TA,FIN COMPL
42249-013,CAPACITY BUILDING FOR DISASTER RISK FINANCE,8144,TA,FIN COMPL
46040-002,YUNNAN PU'ER REGIONAL INTEGRATED ROAD NETWORK DEVELOPMENT PROJECT,8149,TA,FIN COMPL
46130-001,AZE:BAKU SUSTAINABLE URBAN TRANSPORT INVESTMENT PROGRAM,8152,TA,ACTIVE
46281-001,POLICIES FR INDSTRIAL &SRVCE DVRSFCTN IN ASIA IN THE_21ST CENTURY,8153,TA,FIN COMPL
45207-001,IRRIGATION MANAGEMENT IMPROVEMENT INVESTMENT PROGRAM,8154,TA,FIN COMPL
39542-022,IMPLEMENTING THE GMS CORE AGRICULTURE SUPPORT PROGRAM(PHASE 2),8163,TA,ACTIVE
N/A-N/A,SECOND GIRLS PRIMARY SCHOOL SECTOR PROJ,8163,LN,ACTIVE
46234-001,STRENGTHENING KNOWLEDGE-BASED ECONOMIC AND SOCIAL DEVELOPMENT,8164,TA,ACTIVE
44429-012,CLIMATE ADAPTATION THRU SUB-BASIN DEVELOPMENT INVESTMENT PROGRAM,8166,TA,ACTIVE
45105-004,PROMTING SOCIALLY SUSTNBLE TRNSPRT THRU IMPROVNG NONMTRZD TRNPRT,8168,TA,ACTIVE
N/A-N/A,SIXTH ROAD PROJECT,8170,LN,CLOSED
46048-001,JILIN URBAN SERVICES IMPROVEMENT PROJECT,8172,TA,FIN COMPL
N/A-N/A,PART 2-NON-CREDIT COMPONENT,8172,LN,CLOSED
