,,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Cofinance Amount/ Total CF,Approved Cofin Amt,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,statuscofinancing,Sov-NonSov,Proc Arrangement,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications
,IsDB,1979,1979,,426,40253-033,,,,Bintulu Deepwater Port,SERD,,11/23/1979,53.8,0,0,,53.8,,10.2,,10.2,,Non-DVA,,,Multilateral,Loan,OCR,3700,Transport and ICT,,,,,,,,11/23/1979,,,,,Sovereign,,,,,,
,IsDB,1981,1981,,541,,,,BAN,Chittagong Urea Fertilizer,SARD,AWFN,11/01/1981,0,72,0,,72,,16,,16,,Non-DVA,,,Multilateral,Loan,ADF,3500,Industry and Trade,,,,,,,,11/01/1981,,,,,Sovereign,,,,,,
,IsDB,1983,1983,,673,,,,MAL,Second Vocational Education,SERD,,12/20/1983,58,0,0,,58,,8.3,,8.3,,Non-DVA,,,Multilateral,Loan,OCR,3100,Education,,,,,,,,12/20/1983,,,,,Sovereign,,,,,,
,IsDB,1984,1984,,693,,,,INO,Fisheries Infrastructure Sector,SERD,SEAE,09/25/1984,50,0,0,,50,,10.7,,10.7,,Non-DVA,,,Multilateral,Loan,OCR,3000,Agriculture and Natural Resources,,,,,,,,09/25/1984,,,,,Sovereign,,,,,,
,IsDB,1984,1984,,700,17055,,,PAK,Left Bank Outfall Drain (Stage I),CWRD,SAAE,10/25/1984,0,122,0,,122,,11.5,,11.5,,Non-DVA,,,Multilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,10/25/1984,,,,,Sovereign,,S,,,,
,IsDB,1986,1986,,796,,,,BAN,Chittagong Urea Fertilizer (Supplementary),SARD,,11/13/1986,0,26,0,,26,,2.23,,2.23,,Non-DVA,,,Multilateral,Loan,ADF,3500,Industry and Trade,,,,,,,,11/13/1986,,,,,Sovereign,,,,,,
,IsDB,1989,1989,,957,,,,PAK,Flood Damage Restoration,CWRD,,03/30/1989,0,44,0,,44,,10,,10,,Non-DVA,,,Multilateral,Loan,ADF,3900,Multisector,3900,,,,,,,03/30/1989,,,,,Sovereign,,,,,,
,IsDB,1996,1996,,1424,,,,PAK,Ghazi-Barotha Hydropower,CWRD,SAEN,01/18/1996,300,0,0,,300,,40,,40,,Non-DVA,,,Multilateral,Loan,OCR,3200,Energy,,,,,,,,01/18/1996,,,,,Sovereign,,,,,,"DR 2010. Case Study: Clean Power to Benefit All, pp 18-19."
,IsDB,1996,1996,,1467,,,,PAK,Bahawalpur Rural Development,CWRD,SAAE,09/26/1996,0,38,0,,38,,7,,7,,Non-DVA,,,Multilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,09/26/1996,,,,,Sovereign,,,,,File to OAS Aug10.,
,IsDB,1999,1999,,1695,,,,MLD,Regional Development,SARD,,09/02/1999,0,6.62,0,,6.62,,5.86,,5.86,,Non-DVA,,,Multilateral,Loan,ADF,3900,Multisector,3900,,,,,,,09/02/1999,,,,,Sovereign,,,,,"Ref 31Oct99 MOFT, Male advised IsDB cf increased to $4.07 m.(RRP 3.0) Adj. Addl supl $ 1.955=$6.025(Jan04) ref fact sheets. Adj PCR from $6.03 to 5.86.",
,IsDB,2000,2000,,1817,,,,TAJ,Power Rehabilitation,CWRD,,12/20/2000,0,34,0,,34,,9.3,,9.3,,Non-DVA,,,Multilateral,Loan,ADF,3200,Energy,,,,,,,,12/20/2000,,,,,Sovereign,,,,,PCR Dec 09. File sent to OAS Aug10.,
,IsDB,2003,2003,,2006,34234,,,KAZ,Rural Area Water Supply and Sanitation Sector,CWRD,CWSS,09/29/2003,34.6,0,0,,34.6,,9.5,,9.5,,Non-DVA,,,Multilateral,Loan,OCR,3800,Water and Other Municipal Infrastructure and Services,,,,,,,,09/29/2003,,,,,Sovereign,,,,,,
,IsDB,2005,2005,,2198,,,,PAK,New Bong Escape Hydropower (Laraib Energy Limited),PSOD,PSIF,11/21/2005,37.3,0,0,,37.3,,37.3,,37.3,,Non-DVA,,,Multilateral,Loan,OCR,3200,Energy,,,,,,,,11/21/2005,,,,,Non-Sovereign,,,,,,
,IsDB,2005,2005,,2205-2206,35457,,,AZE,East-West Highway Improvement,CWRD,CWTC,12/08/2005,49,3,0,,52,,10.4,,10.4,,Non-DVA,,,Multilateral,Loan,OCR,3700,Transport and ICT,,,,,,,,12/08/2005,10/27/2006,,06/15/2010,,Sovereign,,,,,,"DR 2010. Case Study: Reconnecting Asia, pp 30-31."
,IsDB,2006,2006,,2303/8230,40043-01,,,TAJ,Regional Power Transmission Interconnection,CWRD,CWID,12/19/2006,0,56.5,0,,56.5,,10,,10,,Non-DVA,,,Multilateral,Loan,ADF,3200,Energy,,,,,,,,12/19/2006,,,,,Sovereign,,,,,,
,IsDB,2006,2006,,2304,40043-02,,,AFG,Regional Power Transmission Interconnection (Afghanistan and Tajikistan),CWRD,CWID,12/19/2006,0,35,0,,35,,16.5,,16.5,,Non-DVA,,,Multilateral,Loan,ADF,3200,Energy,,,,,,,,12/19/2006,,,,,Sovereign,,,,,"ATRF was replaced by IsDB , Dec 2010. Supplementary ADF grant app 18Nov10.",
,IsDB,2008,2008,,2453/2454/0253/0254,40517-013,,,BAN,Public-Private Infrastructure Development Facility,SARD,SAGF,10/02/2008,82,83,0,,165,,100,,100,,Non-DVA,,,Multilateral,Loan,ADF,3300,Finance,,,,,,,,10/02/2008,,,,,Sovereign,,,,,Parallel cofinancing from IsDB approved 1Jun2008.,
,IsDB,2009,2009,,2562,41121,M0024,,KAZ,CAREC Transport Corridor I (Zhambyl Oblast Section)[Western Europe-Western People' Republic of China International Transit Corridor] Investment Program - Tranche 2,CWRD,CWTC,10/07/2009,187,0,0,,187,,170,,170,,DVA,FW,Collaborative,Multilateral,Loan,OCR,3700,Transport and ICT,,,,,,,,10/07/2009,04/13/2010,,,,Sovereign,,,,,MFF 0024. PFR 2 (Jul09).,"DR 2011. para on FCA, pp 11."
,IsDB,2010,2010,2701 (CL),2701-2702,35049,,,BAN,Padma Multipurpose Bridge,SARD,SATC,11/25/2010,539,76,0,,615,,140,,140,,DVA,FW,Collaborative,Multilateral,Loan,OCR,3700,Transport and ICT,,,,,,,,11/25/2010,,,,,Sovereign,,,,,,"DR 2010. para on new proj of the year, pp 13. DR 2011. para on FCA, pp 11."
,IsDB,2011,2011,2769 (CL),2769,37113-013,,,BAN,Power System Efficiency Improvement,SARD,SAEN,08/11/2011,300,,,,300,,200,,200,200,DVA,,Collaborative,Multilateral,Loan,OCR,3200,Energy,,,,,,No,,08/11/2011,,,,Approved,Sovereign,,,,,collaborative,"DR 2011. para on FCA, pp 10."
,IsDB,2011,2011,2817 (CL),2817,38479-034,,,INO,Regional Roads Development,SERD,SETC,11/24/2011,180,,,,180,,65,,65,,DVA,,Collaborative,Multilateral,Loan,,3700,Transport and ICT,,,,,,No,,11/24/2011,07/03/2012,,,,Sovereign,,,,,,"DR 2011. para on FCA, pp 11."
,IsDB,2012,2012,2966 (CL),2966/0320,42378-015,73,,BAN,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1,SARD,SAEN,12/12/2012,185,,,,185,,85,,85,,DVA,PS,Collaborative,Multilateral,Loan,,3200,Energy,,Energy Efficiency and Conservation,,,,No,,11/28/2012,,,,,Sovereign,Joint,,,,Joint collaborative,"DR 2012. para in SARD section on New Joint Initiatives, pp 20."
,IsDB,2012,2012,,2867/0290,43566-013,,,MLD,"Inclusive Micro, Small, and Medium-sized Enterprise Development",SARD,SAPF,05/25/2012,,5.57,4.45,,5.57,,10.3,,10.3,,DVA,,Collaborative,Multilateral,Loan,,3500,Industry and Trade,,Small and Medium Enterprise Development,,,,No,,05/25/2012,,,,,Sovereign,Parallel,,,,"istisna'a loan terms, a Shari'ah (Islamic law) mode of financing widely used by Islamic banks, and its terms can be up to 20 years, including a grace period of up to 5 years",
,IsDB,2013,2013,3087 (CL),3087,42378-016,73,,BAN,Power System Expansion and Efficiency Improvement Investment Plan - Tranche 2,SARD,SAEN,12/09/2013,310,,,,310,,220,,220,,DVA,FW,Collaborative,Multilateral,Loan,,3200,Energy,,Electricity Transmission and Distribution,,,,No,,12/09/2013,,,,,Sovereign,Parallel,,,,,
,IsDB,2013,2013,,3090/3091/3092,47094-001,,,PAK,Jamshoro Power Generation,CWRD,CWEN,12/09/2013,870,30,,,900,,150,,150,150,DVA,FW,Collaborative,Multilateral,Loan,,3200,Energy,,Conventional Energy,,,,No,,12/09/2013,,,,,Sovereign,Joint,,,,Joint collaborative cofinancing,
,IsDB,2014,2014,,0409/0410/0429,46122-003,,,MLD,Preparing Outer Islands for Sustainable Energy Development,SARD,SAEN,09/29/2014,,,38,,0,,10,,10,,DVA,FW,Collaborative,Multilateral,Loan,,3200,Energy,,"Conventional Energy Generation, Renewable Energy ﾖ Solar, Energy Efficiency and Conservation",,,,No,,09/29/2014,,,,,Sovereign,,,,,,
,IsDB,2014,2014,,3090/3091/3092,47094-001,,,PAK,Jamshoro Power Generation (Supplementary),CWRD,CWEN,02/27/2014,,,,,0,,70,,70,,DVA,FW,Collaborative,Multilateral,Loan,,3200,Energy,,Conventional Energy,,,,Yes,,02/27/2014,,,,,Sovereign,Joint,,,,Joint collaborative cofinancing,
,IsDB,2015,2015,3350,3350,42378-017,,,BAN,Power System Expansion and Efficiency Improvement Investment ProgramﾗTranche 3,SARD,SAEN,12/08/2015,205,,,,205,,220,,220,220,DVA,FW,Collaborative,Multilateral,Loan,,3200,Energy,,,07/07/2015,,,No,,12/08/2015,,,,Approved,Sovereign,Parallel,,,,,
,IsDB,2015,2015,,3271,44318-026,,,UZB,Housing for Integrated Rural Development Investment ProgramﾗTranche 3,CWRD,CWPF,08/20/2015,100,,,,100,,100,,100,,DVA,FW,Collaborative,Multilateral,Loan,,3300,Finance,,Housing Finance,,,,No,,08/20/2015,,,,,Sovereign,Parallel,,,,,
Italy,Italy,,,,,,,,,,,,,42,0,0,0,42,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Italy,1985,1985,,770,,,,PAK,Second Pirkoh Gas Development,CWRD,,12/12/1985,42,0,0,,42,,5,,5,,Non-DVA,,,Bilateral,Loan,OCR,3200,Energy,,,,,,,,12/12/1985,,,,,Sovereign,,,,,,
ITU,ITU,,,,,,,,,,,,,0,7.4,0,0,7.4,0.1,0,0,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITU,1989,1989,,960,,,,SAM,Second Telecommunications,PARD,,06/01/1989,0,7.4,0,,7.4,0.1,,,0.1,,Non-DVA,,,Multilateral,Grant,ADF,3700,Transport and ICT,,,,,,,,06/01/1989,,,,,Sovereign,,,,,,
Japan,Japan,,,,,,,,,,,,,13017.03,4105.73,299.57,1.3,17124.06,929.42,14977.36,0,15906.78,895.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Japan,1970,1970,28,28,37218-01,,,LAO,Tha Ngon Agricultural Development,SERD,,03/10/1970,0,0.97,0,,0.97,0.63,,,0.63,,Non-DVA,,,Bilateral,Grant,ADF,3900,Multisector,3900,,,,,,,03/10/1970,,,,Closed/Completed,Sovereign,,,,,,
,Japan,1970,1970,,33,36252,,,INO,Pusri Fertilizer Plant Expansion,SERD,SERD,06/04/1970,0,10,0,,10,,12.7,,12.7,,Non-DVA,,,Bilateral,Loan,ADF,3500,Industry and Trade,,,,,,,,06/04/1970,,,,,Sovereign,,,,,,
,Japan,1970,1970,,50,,,,THA,Power Transmission and SubStation Expansion,SERD,,12/17/1970,19,0,0,,19,,15.5,,15.5,,Non-DVA,,,Bilateral,Loan,OCR,3200,Energy,,,,,,,,12/17/1970,,,,,Sovereign,,,,,,
,Japan,1976,1976,,0279-0280,,,,PAK,Port Qasim,CWRD,,11/18/1976,48.6,0,0,,48.6,1.01,,,1.01,,Non-DVA,,,Bilateral,Grant,OCR,3700,Transport and ICT,,,,,,,,11/18/1976,,,,,Sovereign,,,,,,
,Japan,1978,1978,,372,,,,MAL,Trengganu Hydropower,SERD,SEID,12/05/1978,45.4,0,0,,45.4,,75.62,,75.62,,Non-DVA,,,Bilateral,Loan,OCR,3200,Energy,,,,,,,,12/05/1978,,,,,Sovereign,,,,,Adj:  deleted Jan02  1980cf ($65.76) combined with 1979 ($9.86),
,Japan,1979,1979,,414,46455-002,,,,Upper Warangoi Hydropower,PARD,PARD,08/27/1979,12.25,0,0,,12.25,,14.8,,14.8,,Non-DVA,,,Bilateral,Loan,OCR,3200,Energy,,,,,,,,08/27/1979,,,,,Sovereign,,,,,,
,Japan,1979,1979,,426,40253-033,,,,Bintulu Deepwater Port,SERD,,11/23/1979,53.8,0,0,,53.8,,58.2,,58.2,,Non-DVA,,,Bilateral,Loan,OCR,3700,Transport and ICT,,,,,,,,11/23/1979,,,,,Sovereign,,,,,,
,Japan,1979,1979,,443,46455-004,,,,Second Bangkok Water Supply,SERD,,12/17/1979,68,0,0,,68,,35,,35,,Non-DVA,,,Bilateral,Loan,OCR,3800,Water and Other Municipal Infrastructure and Services,,,,,,,,12/17/1979,,,,,Sovereign,,,,,,
,Japan,1980,1980,,0,,,,INO,Equipment Supply for Local Roads Support Works,SERD,,07/29/1980,0,0,0,,0,,17.4,,17.4,,Non-DVA,,,Bilateral,Loan,OCR,3700,Transport and ICT,,,,,,,,07/29/1980,,,,,Sovereign,,,,,,
,Japan,1981,1981,,521,,,,MAL,Batang-Ai Hydropower,SERD,,09/17/1981,40.4,0,0,,40.4,,65.8,,65.8,,Non-DVA,,,Bilateral,Loan,OCR,3200,Energy,,,,,,,,09/17/1981,,,,,Sovereign,,,,,,
,Japan,1981,1981,,541,,,,BAN,Chittagong Urea Fertilizer,SARD,BRM,11/17/1981,0,72,0,,72,,83.21,,83.21,,Non-DVA,,,Bilateral,Loan,ADF,3500,Industry and Trade,,,,,,,,11/17/1981,,,,,Sovereign,,,,,"From the OECF or the Overseas Economic Cooperation Fund of Japan, $60 million based on the RRP",
,Japan,1984,1984,,717,,,,THA,Mae Moh (Unit 8) Power,SERD,,12/11/1984,122.6,0,0,,122.6,,6.57,,6.57,,Non-DVA,,,Bilateral,Loan,OCR,3200,Energy,,,,,,,,12/11/1984,,,,,Sovereign,,,,,,
,Japan,1984,1984,,718,,,,THA,Rural Telecommunications,SERD,,12/11/1984,72.6,0,0,,72.6,,13.2,,13.2,,Non-DVA,,,Bilateral,Loan,OCR,3700,Transport and ICT,,,,,,,,12/11/1984,,,,,Sovereign,,,,,,
,Japan,1985,1985,,735,,,,THA,Third Bangkok Water Supply,SERD,,03/21/1985,130.9,0,0,,130.9,,88.6,,88.6,,Non-DVA,,,Bilateral,Loan,OCR,3800,Water and Other Municipal Infrastructure and Services,,,,,,,,03/21/1985,,,,,Sovereign,,,,,,
,Japan,1985,1985,,772,18100,,,PAK,Pat Feeder Canal Rehabilitation and Improvement,CWRD,,12/17/1985,117,0,0,,117,,5.3,,5.3,,Non-DVA,,,Bilateral,Loan,OCR,3000,Agriculture and Natural Resources,,,,,,,,12/17/1985,,,,,Sovereign,,PS,,,PCR sent to JBIC on 3Aug05.  Adj Dec05 from $10.2 to $5.3.,
,Japan,1986,1986,,796,,,,BAN,Chittagong Urea Fertilizer (Supplementary),SARD,,11/13/1986,0,26,0,,26,,23.36,,23.36,,Non-DVA,,,Bilateral,Loan,ADF,3500,Industry and Trade,,,,,,,,11/13/1986,,,,,Sovereign,,,,,,
,Japan,1986,1986,,828,,,,THA,Mae Moh (Unit 9) Power,SERD,,12/23/1986,38.4,0,0,,38.4,,6.28,,6.28,,Non-DVA,,,Bilateral,Loan,OCR,3200,Energy,,,,,,,,12/23/1986,,,,,Sovereign,,,,,,
,Japan,1987,1987,,0,,,,INO,Local Road Dev Project,SERD,,12/08/1987,0,0,0,,0,,84.75,,84.75,,Non-DVA,,,Bilateral,Loan,OCR,3700,Transport and ICT,,,,,,,,12/08/1987,,,,,Sovereign,,,,,,
,Japan,1987,1987,,835,16004,,,INO,Power XIX Sector,SERD,,08/20/1987,96,0,0,,96,,27.5,,27.5,,DVA,,,Bilateral,Loan,OCR,3200,Energy,,,,,,,,08/20/1987,09/11/1989,,10/13/1994,,Sovereign,,GS,,,with COLA 10Nov89. Adj Dec06 from EC to loan DVA. Cf from $40 to $27.5 ref PCR,
,Japan,1987,1987,,839,,,,BAN,Road Improvement,SARD,,08/27/1987,0,137.5,0,,137.5,82,,,82,,Non-DVA,,,Bilateral,Grant,ADF,3700,Transport and ICT,,,,,,,,08/27/1987,,,,,Sovereign,,,,,Cf approved or commited in 1991 but RRP mentions JPN is considering to fund so Year Listed should be 1987 which is the time of Bank approval.,
,Japan,1987,1987,,857,2115,,,IND,Railways,SARD,,11/10/1987,190,0,0,,190,,110,,110,,DVA,,,Bilateral,Loan,OCR,3700,Transport and ICT,,,,,,,,11/10/1987,03/01/1988,,01/16/2002,,Sovereign,,GS,,,"PCR IN 1-00, 3-Jan-00. EC.  COLA 10Aug1998. Adj Dec.06,  EC to loan DVA with COLA.",
,Japan,1988,1988,,0,,,,INO,Local Currency Financing for ADB-Assisted Projects,SERD,,10/21/1988,0,0,0,,0,,46.6,,46.6,,Non-DVA,,,Bilateral,Loan,OCR,3900,Multisector,3900,,,,,,,10/21/1988,,,,,Sovereign,,,,,,
,Japan,1988,1988,,889,16116,,,PHI,Forestry Sector Program,SERD,SEAE,06/28/1988,0,120,0,,120,,120,,120,,DVA,,Collaborative,Bilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,06/28/1988,09/05/1988,,12/31/1993,,Sovereign,,,,,PA 26Apr1989.,
,Japan,1988,1988,,925,17003,,,PAK,KESC Fifth Power (Sector),CWRD,,11/24/1988,100,0,0,,100,,100,,100,,DVA,,Collaborative,Bilateral,Loan,OCR,3200,Energy,,,,,,,,11/24/1988,02/05/1990,,03/31/1998,,Sovereign,,PS,,,"ADB Admin. COLA 18-Jan-90.  Total admin fee $100,000.",
,Japan,1988,1988,,9999INO2,,,,INO, Second Untied Loan (17 Bank Projects)  ,SERD,,08/09/1988,0,0,0,,0,,576,,576,,DVA,,Collaborative,Bilateral,Loan,OCR,3900,Multisector,3900,Multisector,,,,,,08/09/1988,,,,,Sovereign,,,,,,
,Japan,1989,1989,,943,,,,THA,Second Highway (Sector),SERD,,01/12/1989,110,0,0,,110,,30.5,,30.5,,Non-DVA,,,Bilateral,Loan,OCR,3700,Transport and ICT,,,,,,,,01/12/1989,,,,,Sovereign,,,,,,
,Japan,1989,1989,,951,21214,,,INO,Ninth Port,SERD,,02/07/1989,22,0,0,,22,,12.6,,12.6,,DVA,,,Bilateral,Loan,OCR,3700,Transport and ICT,,,,,,,,02/07/1989,08/22/1989,,07/12/1995,,Sovereign,,GS,,,COLA 3Jul1989.,
,Japan,1989,1989,,966,22265,,,INO,Tenth Road (Sector),SERD,,08/10/1989,120,0,0,,120,,50,,50,,DVA,,Collaborative,Bilateral,Loan,OCR,3700,Transport and ICT,,,,,,,,08/10/1989,11/03/1989,,10/15/1994,,Sovereign,,GS,,,COLA 30Mar1990.,
,Japan,1989,1989,,972,17125,,,PHI,Fisheries Sector Program,SERD,SEAE,09/26/1989,80,0,0,,80,,70,,70,,DVA,,Collaborative,Bilateral,Loan,OCR,3000,Agriculture and Natural Resources,,,,,,,,09/26/1989,11/08/1989,,12/31/1995,,Sovereign,,GS,,,PA Aug91,
,Japan,1989,1989,,986,22229,,,PHI,Angat Water Supply Optimization,SERD,SESS,11/14/1989,111.07,0,0,,111.07,,56.89,,56.89,,DVA,,Collaborative,Bilateral,Loan,OCR,3800,Water and Other Municipal Infrastructure and Services,,,,,,,,11/14/1989,01/24/1990,,11/14/2002,,Sovereign,,PS,,,Adj Dec05 from $80 to $56.892 ($56.89).  PA 21Jun90.,
,Japan,1989,1989,,997,22355,,,PNG,Agriculture Sector Program,PARD,POHQ,12/12/1989,0,80,0,,80,,20,,20,,DVA,,Collaborative,Bilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,12/12/1989,12/22/1989,,06/30/1992,,Sovereign,,PS,,,PA draft on file.,
,Japan,1989,1989,,1005,,,,FIJ,Low Income Housing Development,PARD,,12/21/1989,9.6,0,0,,9.6,1.3,,,1.3,,Non-DVA,,,Bilateral,Grant,OCR,3300,Finance,,,,,,,,12/21/1989,,,,,Sovereign,,,,,,
,Japan,1989,1989,,9999INO3,,,,INO,Third Untied Loan (11 Bank Projects),SERD,,12/15/1989,0,0,0,,0,,350,,350,,DVA,,Collaborative,Bilateral,Loan,ADF,3900,Multisector,3900,Multisector,,,,,,12/15/1989,,,,,Sovereign,,,,,,
,Japan,1990,1990,,1027,,,,THA,Third Highway (Sector),SERD,,08/28/1990,35,0,0,,35,,97,,97,,Non-DVA,,,Bilateral,Loan,OCR,3700,Transport and ICT,,,,,,,,08/28/1990,,,,,Sovereign,,,,,,
,Japan,1990,1990,,1032,18138,,,INO,Power XX,SERD,SEEN,09/25/1990,235,0,0,,235,,83.28,,83.28,,DVA,,,Bilateral,Loan,OCR,3200,Energy,,,,,,,,09/25/1990,01/09/1991,,04/04/2000,,Sovereign,,PS,,,PCR Sep99 sent to Eximbank 30Sep99.  Adj Dec05 from $110 to $83.28.  COLA 7Sep1992.,
,Japan,1990,1990,,1042,24212,,,PHI,Sixteenth Power (Masinloc Thermal Power),SERD,,10/30/1990,200,0,0,,200,,150,,150,,DVA,,,Bilateral,Loan,OCR,3200,Energy,,,,,,,,10/30/1990,12/23/1994,,01/07/1999,,Sovereign,,GS,,,PCR IN 263-99.  COLA 22Dec1994.,
,Japan,1990,1990,,1047,21176,,,PHI,Road and Road Transport Program,SERD,,11/08/1990,100,0,0,,100,,100,,100,,DVA,,Collaborative,Bilateral,Loan,OCR,3700,Transport and ICT,,,,,,,,11/08/1990,12/24/1990,,09/28/1992,,Sovereign,,,,,"PCR IN 103-93, 24Jun93. PA 29May1992",
,Japan,1991,1991,,1081,25092,,,IND,Special Assistance,SARD,,04/04/1991,150,0,0,,150,,150,,150,,DVA,,Collaborative,Bilateral,Loan,OCR,3200,Energy,,,,,,,,04/04/1991,04/18/1991,,04/23/1991,,Sovereign,,,,,PA 24Jan91.,
,Japan,1991,1991,,1098,,,,THA,Fourth Highway (Sector),SERD,SEID,09/17/1991,60,0,0,,60,,72.12,,72.12,,Non-DVA,,,Bilateral,Loan,OCR,3700,Transport and ICT,,,,,,,,09/17/1991,,,,,Sovereign,,,,,,
,Japan,1991,1991,,1148,25363,,,IND,Hydrocarbon Sector Program,SARD,,12/17/1991,250,0,0,,250,,250,,250,,DVA,,Collaborative,Bilateral,Loan,OCR,3200,Energy,,,,,,,,12/17/1991,12/20/1991,,09/18/1997,,Sovereign,,PS,,,PA 28Feb93.,
,Japan,1992,1992,8135,1164/8135/8137,22138,,,FIJ,Second Road Upgrading,PARD,,06/18/1992,18,0,0,,18,,6.5,,6.5,,DVA,,Partial Administration,Bilateral,Loan,OCR,3700,Transport and ICT,,,,,,,,06/18/1992,06/07/1993,,03/09/1999,,Sovereign,,GS,,,COLA 4Jun 1993 with admin fee. PCR Dec99.,
,Japan,1992,1992,,1162,21064,,,PRC,Laiwu Iron & Steel Mill Modernization & Expansion,EARD,EARD,03/31/1992,131.8,0,0,,131.8,,35,,35,,DVA,,Collaborative,Bilateral,Loan,OCR,3500,Industry and Trade,,,,,,,,03/31/1992,07/24/1992,,12/21/1999,,Sovereign,,S,,,COLA 28Jan1994. PCR Sep01,
,Japan,1992,1992,,1169,25370,,,THA,Bongkot Gas Transmission,SERD,SEID,07/02/1992,47.41,0,0,,47.41,,52.3,,52.3,,DVA,,,Bilateral,Loan,OCR,3200,Energy,,,,,,,,07/02/1992,12/16/1992,,11/23/1994,,Sovereign,,GS,,,Admin fees paid by JBIC.  COLA 17Sep92.  PCR Dec95.  file sent to OAS Feb08,
,Japan,1992,1992,,1190,,,,LAO,Rehabilitation & Upgrading Vientiane Water Supply,SERD,,11/17/1992,0,9.5,0,,9.5,19.3,,,19.3,,Non-DVA,,,Bilateral,Grant,ADF,3800,Water and Other Municipal Infrastructure and Services,,,,,,,,11/17/1992,,,,,Sovereign,,,,,,
,Japan,1992,1992,,9999INO,,,,INO,Fourth Untied Loan (5 ADB Projects),SERD,,08/21/1992,303.5,0,0,,303.5,,200,,200,,DVA,,Collaborative,Bilateral,Loan,OCR,3900,Multisector,3900,Multisector,,,,,,08/21/1992,,,,,Sovereign,,,,,,
,Japan,1993,1993,,1222,,,,IND,Gas Flaring Reduction,SARD,,03/30/1993,241,0,0,,241,,55.1,,55.1,,Non-DVA,,,Bilateral,Loan,OCR,3200,Energy,,,,,,,,03/30/1993,,,,,Sovereign,,,,,Adj Dec06 from $181.8 to $55.10.,
,Japan,1993,1993,,1239,,,,THA,Second Rural Telecommunications,SERD,,06/29/1993,41.6,0,0,,41.6,,19.1,,19.1,,Non-DVA,,,Bilateral,Loan,OCR,3700,Transport and ICT,,,,,,,,06/29/1993,,,,,Sovereign,,,,,Adj Dec06 ref PCR.  ADB Loan from $84.1 to $41.6m. JBIC from $46.6 to $19.1m.  File sent to OAS Feb08.,
,Japan,1993,1993,,1266,26366,,,LAO,Airports Improvement,SERD,SEID,11/18/1993,0,15,0,,15,4.1,,,4.1,,Non-DVA,,,Bilateral,Grant,ADF,3700,Transport and ICT,,,,,,,,11/18/1993,,,,,Sovereign,,S,,,,
,Japan,1993,1993,,1272,,,,VIE,Road Improvement,SERD,,11/29/1993,0,120,0,,120,,36,,36,,Non-DVA,,,Bilateral,Loan,ADF,3700,Transport and ICT,,,,,,,,11/29/1993,,,,,Sovereign,,,,,Sent to OAD Feb08,
,Japan,1993,1993,,1276,26347,,,THA,Second Erawan Gas Transmission,SERD,SEEN,12/02/1993,70.4,0,0,,70.4,,70.4,,70.4,,DVA,,Collaborative,Bilateral,Loan,OCR,3200,Energy,,,,,,,,12/02/1993,08/11/1994,,02/28/1997,,Sovereign,,GS,,,"COLA 22Jun 1994, Joint cf. Adj $100 to $70.4.",
,Japan,1993,1993,,1285,26346,,,IND,Gas Rehabilitation and Expansion,SARD,,12/07/1993,157.47,0,0,,157.47,,63.83,,63.83,,DVA,,,Bilateral,Loan,OCR,3200,Energy,,,,,,,,12/07/1993,08/15/1994,,06/22/1998,,Sovereign,,S,,,COLA 20Feb1998. PCR sent 13Jun02.  Adj Oct02 $80 to $63.83; loan amt 260 to 157.47. IND-8164. File sent to OAS Aug10.,
,Japan,1993,1993,,1287,,,,BAN,Road Overlay and Improvement,SARD,,12/09/1993,0,68,0,,68,,45,,45,,Non-DVA,,,Bilateral,Loan,ADF,3700,Transport and ICT,,,,,,,,12/09/1993,,,,,Sovereign,,,,,,
,Japan,1993,1993,,1293,,,,BAN,Third Natural Gas Development,SARD,SAID,12/21/1993,0,71.48,0,,71.48,,15.23,,15.23,,Non-DVA,,,Bilateral,Loan,ADF,3200,Energy,,,,,,,,12/21/1993,,,,,Sovereign,,,,,PCR sent 13Jul06.  Adj Dec06. ADB Loan from $107 to $71.48.  JBIC from $10.1 to $15.23. File w/ records.,
